game_id,minute,player_id,event_id
2341283,16,65467,0
2341283,60,171167,1
2341283,71,65467,2
2341283,92,119213,3
2341259,44,143029,4
2341260,12,71671,5
2341260,20,35532,6
2341260,71,44860,7
2321360,41,38253,8
2321360,44,160285,9
2321360,80,38253,10
2321360,82,55735,11
2331184,52,45403,12
2331183,34,127187,13
2331183,53,36500,14
2331183,59,148955,15
2331183,82,55042,16
2331180,5,57186,17
2331181,2,50570,18
2331181,20,3455,19
2331181,49,77100,20
2331181,88,182913,21
2331177,30,146854,22
2331177,45,146854,23
2331177,87,4217,24
2331177,90,146854,25
2331176,15,23934,26
2331176,69,189441,27
2331175,19,22390,28
2331175,35,38360,29
2331175,77,22390,30
2331175,91,316419,31
2331160,10,38360,32
2331160,23,28140,33
2331160,45,38360,34
2331160,82,36293,35
2331178,8,63463,36
2331178,42,57510,37
2331178,72,63463,38
2331159,32,5645,39
2331159,66,78082,40
2331147,33,108354,41
2331147,72,148955,42
2331147,77,55709,43
2331146,41,181767,44
2331146,65,77100,45
2331146,82,33923,46
2331146,90,149551,47
2331144,40,60540,48
2331144,70,103563,49
2331144,87,42267,50
2331157,3,50570,51
2331157,23,57403,52
2331157,27,148955,53
2331169,47,93309,54
2331169,73,103565,55
2331139,3,145416,56
2331139,6,89215,57
2331139,40,60578,58
2331162,77,65,59
2331162,85,23888,60
2331150,14,12503,61
2331150,26,184892,62
2331150,40,20622,63
2331150,48,43907,64
2331150,57,43907,65
2331150,82,22388,66
2331156,45,36881,67
2331156,56,108354,68
2331155,74,18093,69
2331179,22,3266,70
2331179,32,7971,71
2331179,52,81460,72
2331179,65,7971,73
2331152,47,98349,74
2331152,57,38360,75
2331154,17,3266,76
2331151,9,55237,77
2331151,68,146854,78
2331174,25,48280,79
2331174,56,29241,80
2331171,61,58818,81
2331170,51,126687,82
2331161,30,60578,83
2331165,5,30321,84
2331165,79,57337,85
2331165,83,113707,86
2331164,17,43242,87
2331164,73,148955,88
2331173,52,65,89
2331173,74,65,90
2331173,75,145416,91
2331173,88,127189,92
2331173,92,189441,93
2331167,14,22388,94
2331167,23,203496,95
2331167,47,95604,96
2331167,50,57186,97
2331167,64,93720,98
2331166,32,7971,99
2331166,85,103565,100
2331114,89,33923,101
2331123,25,5544,102
2331123,41,111783,103
2331123,44,36293,104
2331123,54,36293,105
2331123,80,8060,106
2331123,84,164897,107
2331123,86,8060,108
2331123,90,34758,109
2331118,26,113707,110
2331118,32,3266,111
2331118,56,157501,112
2331118,78,198027,113
2331118,81,113707,114
2331118,87,44045,115
