player_id,name,current_club_id,country_of_citizenship,date_of_birth,position,foot,height_in_cm
341272,Alejandro Pozo,3302,Spain,1999-02-22,Defender,Right,173
424784,Luis Suárez,3302,Colombia,1997-12-02,Attack,Right,185
355627,Sergio Akieme,3302,Spain,1997-12-16,Defender,Left,175
574772,Lázaro,3302,Brazil,2002-03-12,Attack,Right,181
176140,Rodrigo Ely,3302,Brazil,1993-11-03,Defender,Right,191
222805,Srdjan Babic,3302,Serbia,1996-04-22,Defender,Left,194
743589,Kaiky,3302,Brazil,2004-01-12,Defender,Right,181
531274,Diego Fuoli,3302,Spain,1997-10-20,Goalkeeper,Right,188
221899,Léo Baptistão,3302,Brazil,1992-08-26,Attack,Right,185
85295,Iván Balliu,367,Albania,1992-01-01,Defender,Right,172
81997,Fernando Martínez,3302,Spain,1990-06-10,Goalkeeper,Right,183
181547,Gonçalo Paciência,940,Portugal,1994-08-01,Attack,Right,184
72047,Iago Aspas,940,Spain,1987-08-01,Attack,Left,176
429983,Jörgen Strand Larsen,940,Norway,2000-02-06,Attack,Right,193
282694,Augusto Solari,940,Argentina,1992-01-03,Attack,Right,176
282810,Carles Pérez,940,Spain,1998-02-16,Attack,Left,173
449796,Alejandro Catena,367,Spain,1994-10-28,Defender,Right,194
59349,Diego Mariño,3302,Spain,1990-05-09,Goalkeeper,Right,187
284884,Óscar Rodríguez,940,Spain,1998-06-28,Attack,Right,174
699704,Gabri Veiga,940,Spain,2002-05-27,Attack,Right,185
315762,Luca de la Torre,940,United States,1998-05-23,Midfield,Right,177
423444,Fran Beltrán,940,Spain,1999-02-03,Midfield,Right,165
277137,Renato Tapia,940,Peru,1995-07-28,Midfield,Right,185
221315,Kevin Vázquez,940,Spain,1993-03-23,Defender,Right,175
119905,Hugo Mallo,940,Spain,1991-06-22,Defender,Right,174
448628,Javi Galán,940,Spain,1994-11-19,Defender,Left,172
457221,Lucas Robertone,3302,Argentina,1997-03-18,Midfield,Right,169
331505,Óscar Mingueza,940,Spain,1999-05-13,Defender,Right,184
338285,Unai Núñez,940,Spain,1997-01-30,Defender,Right,186
37337,Mario Suárez,367,Spain,1987-02-24,Defender,Right,189
297194,Iván Villar,940,Spain,1997-07-09,Goalkeeper,Right,186
54534,Agustín Marchesín,940,Argentina,1988-03-16,Goalkeeper,Right,188
636093,Carlos Domínguez,940,Spain,2001-02-11,Defender,Left,187
341110,Franco Cervi,940,Argentina,1994-05-26,Attack,Left,166
423443,Álex Centelles,3302,Spain,1999-08-30,Defender,Left,185
109256,Haris Seferovic,940,Switzerland,1992-02-22,Attack,Left,189
358250,Joseph Aidoo,940,Ghana,1995-09-29,Defender,Right,177
764859,Williot Swedberg,940,Sweden,2004-02-01,Attack,Right,187
384060,Tino Kadewere,237,Zimbabwe,1996-01-05,Attack,Right,183
339820,Amath Ndiaye,237,Senegal,1996-07-16,Attack,Right,173
857830,Daniel Luna,237,Colombia,2003-05-07,Attack,Left,178
139435,Dani Rodríguez,237,Spain,1988-06-06,Attack,Right,178
557149,Kang-in Lee,237,"Korea, South",2001-02-19,Attack,Left,173
126751,Iñigo Ruiz de Galarreta,237,Spain,1993-08-06,Midfield,Right,175
442805,Iddrisu Baba,237,Ghana,1996-01-22,Midfield,Right,182
333361,Chumi,3302,Spain,1999-03-02,Defender,Right,185
339699,Giovanni González,237,Uruguay,1994-09-20,Defender,Right,178
251876,Pablo Maffeo,237,Spain,1997-07-12,Defender,Right,172
65318,Jaume Costa,237,Spain,1988-03-18,Defender,Left,171
170646,Ludwig Augustinsson,237,Sweden,1994-04-21,Defender,Left,181
520840,José Copete,237,Spain,1999-10-10,Defender,Left,190
278296,Antonio Raíllo,237,Spain,1991-10-08,Defender,,187
277384,Martin Valjent,237,Slovakia,1995-12-11,Defender,Right,187
562742,Leo Román,237,Spain,2000-07-06,Goalkeeper,Right,189
316884,Dominik Greif,237,Slovakia,1997-04-06,Goalkeeper,Right,197
190263,Predrag Rajković,237,Serbia,1995-10-31,Goalkeeper,Right,192
143559,Matija Nastasić,237,Serbia,1993-03-28,Defender,Left,188
72479,Clément Grenier,237,France,1991-01-07,Midfield,Right,186
322065,Dennis Hadzikadunic,237,Bosnia-Herzegovina,1998-07-09,Defender,Right,191
513031,Antonio Sánchez,237,Spain,1997-04-22,Midfield,Right,179
335225,Manu Morlanes,237,Spain,1999-01-12,Midfield,Right,178
481084,Marcos André,1049,Brazil,1996-10-20,Attack,Right,185
48280,Edinson Cavani,1049,Uruguay,1987-02-14,Attack,Right,184
623521,Juanmi Latasa,3709,Spain,2001-03-23,Attack,Left,192
340205,Gorka Guruzeta,621,Spain,1996-09-12,Attack,Right,188
34601,Raúl García,621,Spain,1986-07-11,Attack,Right,184
256267,Vedat Muriqi,237,Kosovo,1994-04-24,Attack,Left,194
321647,Grejohn Kyei,3524,France,1995-08-12,Attack,Right,187
260316,Komnen Andric,3524,Serbia,1995-07-01,Attack,Right,189
860056,Aïman Maurer,3524,Morocco,2004-09-25,Attack,Right,173
270411,Saîf-Eddine Khaoui,3524,Tunisia,1995-04-27,Attack,Left,180
422281,Muhammed Cham,3524,Austria,2000-09-26,Attack,Left,180
646733,Jim Allevinah,3524,Gabon,1995-02-27,Midfield,Right,172
361254,Rafa Mir,368,Spain,1997-06-18,Attack,Right,191
170966,Jérémie Bela,3524,Angola,1993-04-08,Attack,Right,173
278359,Borja Iglesias,150,Spain,1993-01-17,Attack,Right,187
7663,Joaquín,150,Spain,1981-07-21,Attack,Right,181
585700,Juan Cruz,150,Spain,2000-04-25,Attack,Left,180
800175,Luiz Henrique,150,Brazil,2001-01-02,Attack,Left,182
126737,Juanmi,150,Spain,1993-05-20,Attack,Right,172
630995,Rodri Sánchez,150,Spain,2000-05-16,Attack,Left,175
66106,Sergio Canales,150,Spain,1991-02-16,Attack,Left,178
20506,Andrés Guardado,150,Mexico,1986-09-28,Midfield,Left,167
149579,Elbasan Rashani,3524,Kosovo,1993-05-09,Attack,Left,181
429901,Paul Akouokou,150,Cote d'Ivoire,1997-12-20,Midfield,Right,181
342385,Guido Rodríguez,150,Argentina,1994-04-12,Midfield,Right,185
68645,Martín Montoya,150,Spain,1991-04-14,Defender,Right,175
378139,Aitor Ruibal,150,Spain,1996-03-22,Defender,Right,176
135492,Youssouf Sabaly,150,Senegal,1993-03-05,Defender,Right,173
68718,Yoann Touzghar,1147,Tunisia,1986-11-28,Attack,Right,180
100131,William Carvalho,150,Portugal,1992-04-07,Midfield,Right,187
122155,Willian José,150,Brazil,1991-11-23,Attack,Right,189
341227,Juan Miranda,150,Spain,2000-01-19,Defender,Left,185
401922,Samuel Chukwueze,1050,Nigeria,1999-05-22,Attack,Left,172
252677,José Luis Morales,1050,Spain,1987-07-23,Attack,Right,180
568157,Yéremy Pino,1050,Spain,2002-10-20,Attack,Right,172
913305,Idjessi Metsoko,290,Togo,2002-03-14,Attack,,0
306166,Nuno Da Costa,290,Cape Verde,1991-02-10,Attack,Right,182
246968,Ayoze Pérez,150,Spain,1993-07-29,Attack,Right,178
659543,Matthis Abline,290,France,2003-03-28,Attack,Right,182
569140,Lassine Sinayoko,290,Mali,1999-12-08,Attack,Right,186
174304,Rémy Dugimont,290,France,1986-07-01,Attack,Right,182
488656,Siriki Dembélé,290,Scotland,1996-09-07,Attack,Right,173
743496,Kévin Danois,290,France,2004-06-28,Attack,Right,0
216464,Carlos Fernández,681,Spain,1996-05-22,Attack,Left,185
238407,Alexander Sörloth,681,Norway,1995-12-05,Attack,Left,195
670847,Momo Cho,681,France,2004-01-19,Attack,Left,182
337715,Umar Sadiq,681,Nigeria,1997-02-02,Attack,Right,191
405398,Takefusa Kubo,681,Japan,2001-06-04,Attack,Left,173
289272,Martín Merquelanz,681,Spain,1995-06-12,Attack,Left,176
203496,Nabil Fekir,150,France,1993-07-18,Attack,Left,173
646402,Abner,150,Brazil,2000-05-27,Defender,Left,181
351478,Mikel Oyarzabal,681,Spain,1997-04-21,Attack,Left,181
776890,Nicolas Jackson,1050,Senegal,2001-06-20,Attack,Right,188
157501,M'Baye Niang,290,Senegal,1994-12-19,Attack,Right,188
309110,Brais Méndez,681,Spain,1997-01-07,Attack,Left,184
465967,Ander Guevara,681,Spain,1997-07-07,Midfield,Right,180
634431,Beñat Turrientes,681,Spain,2002-01-31,Midfield,Right,181
338424,Mikel Merino,681,Spain,1996-06-22,Midfield,Left,189
423440,Martín Zubimendi,681,Spain,1999-02-02,Midfield,Right,181
563137,Robert Navarro,681,Spain,2002-04-12,Attack,Right,178
289255,Andoni Gorosabel,681,Spain,1996-08-04,Defender,Right,174
249513,Diego Rico,681,Spain,1993-02-23,Defender,Left,183
517842,Aihen Muñoz,681,Spain,1997-08-16,Defender,Left,175
59344,Asier Illarramendi,681,Spain,1990-03-08,Midfield,Right,179
229804,Aritz Elustondo,681,Spain,1994-03-28,Defender,Right,182
344892,Gauthier Hein,290,France,1996-08-07,Attack,Left,170
434990,Álex Sola,681,Spain,1999-06-09,Defender,Right,178
351809,Robin Le Normand,681,France,1996-11-11,Defender,Right,187
580560,Jon Pacheco,681,Spain,2001-01-08,Defender,Left,184
355628,Igor Zubeldia,681,Spain,1997-03-30,Defender,Right,181
167472,Youssouf M'Changama,290,Comoros,1990-08-29,Attack,Right,175
263951,Hamza Sakhi,290,Morocco,1996-06-07,Attack,Right,176
353404,Gaëtan Perrin,290,France,1996-06-07,Midfield,Right,169
538045,Kays Ruiz-Atil,290,Morocco,2002-08-26,Midfield,Right,177
536508,Han-Noah Massengo,290,France,2001-07-07,Midfield,Right,178
428948,Andoni Zubiaurre,681,Spain,1996-12-04,Goalkeeper,Left,189
913303,Natanaël Bouekou,290,France,2002-05-10,Midfield,,0
478107,Ousoumane Camara,290,France,1998-12-19,Midfield,Right,184
229853,Birama Touré,290,Mali,1992-06-06,Midfield,Right,183
395695,Elisha Owusu,290,Ghana,1997-11-07,Midfield,Right,182
327863,Akim Zedadka,290,Algeria,1995-05-30,Defender,Right,173
229012,Kenji-Van Boto,290,Madagascar,1996-03-07,Defender,Left,183
138171,Mathias Autret,290,France,1991-03-01,Attack,Right,179
184575,Denys Bain,290,France,1993-07-02,Defender,Both,181
134277,Julian Jeanvier,290,Guinea,1992-03-31,Defender,Right,183
238716,Théo Pellenard,290,France,1994-03-04,Defender,Left,182
149928,Jubal,290,Brazil,1993-08-29,Defender,Right,190
708678,Isaak Touré,290,France,2003-03-28,Defender,Left,206
563140,Vincenzo Cozzella,290,Italy,2001-12-21,Goalkeeper,,190
695422,Théo De Percin,290,Martinique,2001-02-02,Goalkeeper,Right,185
170911,Donovan Léon,290,French Guiana,1992-11-03,Goalkeeper,Right,187
303657,Ionut Radu,290,Romania,1997-05-28,Goalkeeper,Right,188
397171,Gideon Mensah,290,Ghana,1998-07-18,Defender,Left,178
188854,Manu Trigueros,1050,Spain,1991-10-17,Midfield,Right,178
59561,Dani Parejo,1050,Spain,1989-04-16,Midfield,Right,182
348795,Giovani Lo Celso,1050,Argentina,1996-04-09,Midfield,Left,177
177467,Gerard Moreno,1050,Spain,1992-04-07,Attack,Left,180
783396,Ramón Terrats,1050,Spain,2000-10-18,Midfield,Left,181
74869,Francis Coquelin,1050,France,1991-05-13,Midfield,Right,177
548111,Álex Baena,1050,Spain,2001-07-20,Attack,Right,174
480763,Juan Foyth,1050,Argentina,1998-01-12,Defender,Right,187
63494,Étienne Capoue,1050,France,1988-07-11,Midfield,Right,189
207917,Alberto Moreno,1050,Spain,1992-07-05,Defender,Left,171
262939,Johan Mojica,1050,Colombia,1992-08-21,Defender,Left,185
15452,Raúl Albiol,1050,Spain,1985-09-04,Defender,Right,190
80293,Aïssa Mandi,1050,Algeria,1991-10-22,Defender,Right,184
494880,Jorge Cuenca,1050,Spain,1999-11-17,Defender,Left,190
616369,Ander Barrenetxea,681,Spain,2001-12-27,Attack,Right,175
7825,Pepe Reina,1050,Spain,1982-08-31,Goalkeeper,Right,188
344576,Rayan Raveloson,290,Madagascar,1997-01-16,Midfield,Right,183
62920,Víctor Ruiz,150,Spain,1989-01-25,Defender,Left,184
113133,Germán Pezzella,150,Argentina,1991-06-27,Defender,Right,187
401624,Edgar González,150,Spain,1997-04-01,Defender,Right,193
457931,Luiz Felipe,150,Italy,1997-03-22,Defender,Right,187
40423,Claudio Bravo,150,Chile,1983-04-13,Goalkeeper,Right,184
356197,Alfonso Pedraza,1050,Spain,1996-04-09,Defender,Left,184
234811,Rui Silva,150,Portugal,1994-02-07,Goalkeeper,Left,191
915849,Yanis Massolin,3524,France,2002-09-20,Midfield,Right,0
72121,Johan Gastien,3524,France,1988-01-25,Midfield,Right,179
76467,Kiko Femenía,1050,Spain,1991-02-02,Defender,Right,171
594997,Yohann Magnin,3524,France,1997-06-21,Midfield,Right,183
969154,Oliver Kamdem,3524,France,2002-10-15,Defender,Right,0
118303,Mehdi Zeffane,3524,Algeria,1992-05-19,Defender,Right,176
857482,Baïla Diallo,3524,Senegal,2001-06-24,Defender,Left,176
335221,Dani Martín,150,Spain,1998-07-08,Goalkeeper,Right,187
212862,Álex Remiro,681,Spain,1995-03-24,Goalkeeper,Right,191
806501,Souleymane Cissé,3524,France,2002-08-08,Defender,,190
585323,Filip Jörgensen,1050,Denmark,2002-04-16,Goalkeeper,Right,190
91473,Florent Ogier,3524,France,1989-03-21,Defender,Right,183
208172,Mateusz Wieteska,3524,Poland,1997-02-11,Defender,Right,187
35518,David Silva,681,Spain,1986-01-08,Attack,Left,170
827950,Ousmane Camara,290,Guinea,2001-11-03,Attack,,0
60542,Maxime Gonalons,3524,France,1989-03-10,Midfield,Right,187
