game_id,competition_id,season,date,home_club_id,away_club_id,home_club_goals,away_club_goals,stadium,attendance
2331127,FR1,2013,2014-04-05,1158,14171,1,1,Stade du Moustoir,15496
2331134,FR1,2013,2014-03-30,1041,618,1,2,Stade de Gerland,36822
2331129,FR1,2013,2014-04-12,14171,595,2,1,Parc des Sports d’Annecy,11633
2331116,FR1,2013,2014-04-12,1082,1423,1,0,Decathlon Arena-Stade Pierre-Mauroy,37757
2331105,FR1,2013,2014-03-30,273,595,3,0,Roazhon Park,18474
2331133,FR1,2013,2014-04-05,40,273,2,2,Matmut Atlantique,19776
2331109,FR1,2013,2014-03-29,1421,1158,1,1,Stade Auguste-Delaune,14546
2331149,FR1,2013,2014-03-29,1147,415,2,2,Stade François-Coty,5961
2331140,FR1,2013,2014-04-12,1147,40,1,1,Stade François-Coty,6319
2331107,FR1,2013,2014-03-29,750,244,1,1,Stade Auguste-Bonal,16328
2331110,FR1,2013,2014-03-28,417,583,0,1,Allianz Riviera,35030
2331057,FR1,2013,2014-03-23,162,1082,1,1,Stade Louis-II,7157
2331052,FR1,2013,2014-03-23,855,1041,0,1,Stade du Roudourou,15167
2331132,FR1,2013,2014-04-05,855,969,1,2,Stade du Roudourou,15966
2331047,FR1,2013,2014-03-23,618,750,3,1,Stade Geoffroy-Guichard,32688
2331061,FR1,2013,2014-03-22,415,14171,1,1,Stadium Municipal,18002
2331058,FR1,2013,2014-03-22,995,969,2,1,Stade de la Beaujoire,32738
2331056,FR1,2013,2014-03-22,1423,1147,2,3,Stade du Hainaut,14203
2331045,FR1,2013,2014-03-22,40,417,1,1,Matmut Atlantique,15175
2331046,FR1,2013,2014-03-22,244,273,0,1,Orange Vélodrome,36883
2331049,FR1,2013,2014-03-21,1158,583,0,1,Stade du Moustoir,16116
2331106,FR1,2013,2014-03-29,995,40,0,0,Stade de la Beaujoire,25031
2331053,FR1,2013,2014-03-16,583,618,2,0,Parc des Princes,45614
2331048,FR1,2013,2014-03-16,1041,162,2,3,Stade de Gerland,35062
2331066,FR1,2013,2014-03-16,969,40,1,1,Stade de la Mosson,14018
2331143,FR1,2013,2014-04-04,244,1147,3,1,Orange Vélodrome,34992
2331063,FR1,2013,2014-03-15,1147,855,1,2,Stade François-Coty,6018
2331055,FR1,2013,2014-03-15,14171,1423,0,1,Parc des Sports d’Annecy,11172
2331054,FR1,2013,2014-03-15,273,415,2,3,Roazhon Park,15776
2331051,FR1,2013,2014-03-15,1082,995,0,0,Decathlon Arena-Stade Pierre-Mauroy,39328
2331067,FR1,2013,2014-03-14,1421,244,1,1,Stade Auguste-Delaune,20513
2331101,FR1,2013,2014-03-09,40,1041,1,2,Matmut Atlantique,17660
2331064,FR1,2013,2014-03-09,1158,618,1,0,Stade du Moustoir,15839
2331111,FR1,2013,2014-03-29,14171,162,1,0,Parc des Sports d’Annecy,11820
2331102,FR1,2013,2014-03-09,1082,969,2,0,Decathlon Arena-Stade Pierre-Mauroy,40264
2331078,FR1,2013,2014-03-08,995,1147,2,2,Stade de la Beaujoire,22309
2331068,FR1,2013,2014-03-08,415,1421,3,2,Stadium Municipal,10401
2331065,FR1,2013,2014-03-08,162,750,2,1,Stade Louis-II,7654
2331082,FR1,2013,2014-03-08,855,14171,0,1,Stade du Roudourou,13543
2331062,FR1,2013,2014-03-08,1423,273,2,1,Stade du Hainaut,13409
2331059,FR1,2013,2014-03-08,595,583,0,3,Stade Armand-Cesari,14992
2331142,FR1,2013,2014-03-29,969,1423,0,0,Stade de la Mosson,17109
2331074,FR1,2013,2014-03-02,583,244,2,0,Parc des Princes,45483
2331094,FR1,2013,2014-03-07,244,417,0,1,Orange Vélodrome,36083
2331135,FR1,2013,2014-04-06,1423,1041,1,2,Stade du Hainaut,13922
2331080,FR1,2013,2014-03-01,273,855,0,2,Roazhon Park,28831
2331079,FR1,2013,2014-03-01,1158,595,1,1,Stade du Moustoir,15152
2331077,FR1,2013,2014-03-01,417,415,0,2,Allianz Riviera,20729
2331075,FR1,2013,2014-03-01,1421,1423,3,1,Stade Auguste-Delaune,14414
2331071,FR1,2013,2014-03-01,618,162,2,0,Stade Geoffroy-Guichard,34034
2331090,FR1,2013,2014-02-28,14171,995,2,0,Parc des Sports d’Annecy,8991
2331098,FR1,2013,2014-02-23,1082,1041,0,0,Decathlon Arena-Stade Pierre-Mauroy,43518
2331072,FR1,2013,2014-03-02,1041,969,0,0,Stade de Gerland,35865
2331050,FR1,2013,2014-03-22,595,1421,2,0,Stade Armand-Cesari,12724
2331073,FR1,2013,2014-03-01,750,40,2,0,Stade Auguste-Bonal,13095
2331100,FR1,2013,2014-02-22,595,618,0,2,Stade Armand-Cesari,13515
2331089,FR1,2013,2014-02-22,1423,750,2,2,Stade du Hainaut,13340
2331069,FR1,2013,2014-03-15,417,595,2,0,Allianz Riviera,24337
2331088,FR1,2013,2014-02-22,855,417,1,0,Stade du Roudourou,11897
2331081,FR1,2013,2014-03-02,1147,1082,2,3,Stade François-Coty,5663
2331087,FR1,2013,2014-02-22,244,1158,1,0,Orange Vélodrome,38104
2331092,FR1,2013,2014-02-22,40,14171,2,1,Matmut Atlantique,12465
2331093,FR1,2013,2014-02-16,618,244,1,1,Stade Geoffroy-Guichard,32024
2331104,FR1,2013,2014-02-23,995,273,0,3,Stade de la Beaujoire,34619
2331096,FR1,2013,2014-02-15,273,969,2,2,Roazhon Park,14353
2331076,FR1,2013,2014-02-22,969,1147,2,0,Stade de la Mosson,12028
2331099,FR1,2013,2014-02-21,162,1421,3,2,Stade Louis-II,6127
2331091,FR1,2013,2014-02-15,1158,415,1,3,Stade du Moustoir,14875
2331085,FR1,2013,2014-02-16,14171,1082,2,2,Parc des Sports d’Annecy,10366
2331103,FR1,2013,2014-02-23,415,583,2,4,Stadium Municipal,22049
2331097,FR1,2013,2014-02-14,583,1423,3,0,Parc des Princes,45727
2331070,FR1,2013,2014-02-15,1421,40,1,0,Stade Auguste-Delaune,13702
2331108,FR1,2013,2014-03-30,1082,855,1,0,Decathlon Arena-Stade Pierre-Mauroy,39319
2331037,FR1,2013,2014-02-09,162,583,1,1,Stade Louis-II,16384
2331032,FR1,2013,2014-02-09,995,1041,1,2,Stade de la Beaujoire,35450
2331060,FR1,2013,2014-03-15,750,1158,2,0,Stade Auguste-Bonal,15867
