,club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
0,1032,fc-reading,Fc Reading,GB1,33.66,26,25.9,12,46.2,6,Select Car Leasing Stadium,24161,+£8.37m,Brian McDermott,https://www.transfermarkt.co.uk/fc-reading/startseite/verein/1032
2,1387,acn-siena-1904,Acn Siena 1904,IT1,4.32,30,26.2,6,20.0,2,Artemio Franchi,15373,£-6Th.,Serse Cosmi,https://www.transfermarkt.co.uk/acn-siena-1904/startseite/verein/1387
4,1071,wigan-athletic,Wigan Athletic,GB1,12.38,29,26.5,14,48.3,6,DW Stadium,25133,£-140Th.,Roberto Martínez,https://www.transfermarkt.co.uk/wigan-athletic/startseite/verein/1071
6,142,real-saragossa,Real Saragossa,ES1,22.86,24,26.6,5,20.8,0,La Romareda,33068,+-0,Manolo Jiménez,https://www.transfermarkt.co.uk/real-saragossa/startseite/verein/142
10,23,eintracht-braunschweig,Eintracht Braunschweig,L1,6.48,27,24.9,3,11.1,0,EINTRACHT-Stadion,23325,+-0,Torsten Lieberknecht,https://www.transfermarkt.co.uk/eintracht-braunschweig/startseite/verein/23
14,1210,as-livorno,As Livorno,IT1,225.0,25,27.0,0,,0,Armando Picchi,19238,+-0,Davide Nicola,https://www.transfermarkt.co.uk/as-livorno/startseite/verein/1210
15,1627,catania-calcio,Catania Calcio,IT1,6.56,25,26.8,5,20.0,0,Cibali - Angelo Massimino,20016,+-0,Rolando Maran,https://www.transfermarkt.co.uk/catania-calcio/startseite/verein/1627
17,1423,fc-valenciennes,Fc Valenciennes,FR1,18.41,29,25.6,11,37.9,2,Stade du Hainaut,25000,+£1.35m,Daniel Sanchez,https://www.transfermarkt.co.uk/fc-valenciennes/startseite/verein/1423
18,750,fc-sochaux-montbeliard,Fc Sochaux Montbeliard,FR1,17.51,24,24.8,8,33.3,3,Stade Auguste-Bonal,20005,+£720Th.,Eric Hély,https://www.transfermarkt.co.uk/fc-sochaux-montbeliard/startseite/verein/750
19,1147,ac-ajaccio,Ac Ajaccio,FR1,16.52,25,26.8,10,40.0,7,Stade François-Coty,10446,+-0,Fabrizio Ravanelli,https://www.transfermarkt.co.uk/ac-ajaccio/startseite/verein/1147
21,3302,ud-almeria,Ud Almeria,ES1,,28,25.5,14,50.0,3,Power Horse Stadium,15274,€-17.00m,Francisco Rodríguez,https://www.transfermarkt.co.uk/ud-almeria/startseite/verein/3302
