club_id,club_code,name,domestic_competition_id,stadium_name,stadium_seats
607,venezia-fc,Venezia Fc,IT1,Pier Luigi Penzo,11150
5,ac-mailand,Ac Mailand,IT1,Giuseppe Meazza,75923
1025,fc-bologna,Fc Bologna,IT1,Stadio Renato Dall’Ara,36462
380,us-salernitana-1919,Us Salernitana 1919,IT1,Arechi,31300
1390,cagliari-calcio,Cagliari Calcio,IT1,Unipol Domus,16416
506,juventus-turin,Juventus Turin,IT1,Allianz Stadium,41507
252,genua-cfc,Genua Cfc,IT1,Luigi Ferraris,34901
430,ac-florenz,Ac Florenz,IT1,Artemio Franchi,47282
6195,ssc-neapel,Ssc Neapel,IT1,Stadio Diego Armando Maradona,54726
1123,norwich-city,Norwich City,GB1,Carrow Road,27244
1010,fc-watford,Fc Watford,GB1,Vicarage Road,21577
873,crystal-palace,Crystal Palace,GB1,Selhurst Park,26047
1148,fc-brentford,Fc Brentford,GB1,Brentford Community Stadium,17250
399,leeds-united,Leeds United,GB1,Elland Road,37890
1237,brighton-amp-hove-albion,Brighton Amp Hove Albion,GB1,AMEX Stadium,31800
543,wolverhampton-wanderers,Wolverhampton Wanderers,GB1,Molineux Stadium,32050
29,fc-everton,Fc Everton,GB1,Goodison Park,39571
180,fc-southampton,Fc Southampton,GB1,St Mary's Stadium,32384
11,fc-arsenal,Fc Arsenal,GB1,Emirates Stadium,60704
405,aston-villa,Aston Villa,GB1,Villa Park,42682
985,manchester-united,Manchester United,GB1,Old Trafford,74879
631,fc-chelsea,Fc Chelsea,GB1,Stamford Bridge,40853
31,fc-liverpool,Fc Liverpool,GB1,Anfield,54074
281,manchester-city,Manchester City,GB1,Etihad Stadium,55017
367,rayo-vallecano,Rayo Vallecano,ES1,Campo de Fútbol de Vallecas,15105
2687,fc-cadiz,Fc Cadiz,ES1,Nuevo Mirandilla,21094
1108,deportivo-alaves,Deportivo Alaves,ES1,Mendizorrotza,19840
1003,leicester-city,Leicester City,GB1,King Power Stadium,32273
16795,fc-granada,Fc Granada,ES1,Nuevo Los Cármenes,19336
331,ca-osasuna,Ca Osasuna,ES1,El Sadar,23576
940,celta-vigo,Celta Vigo,ES1,Balaídos,29000
714,espanyol-barcelona,Espanyol Barcelona,ES1,RCDE Stadium,40500
3709,fc-getafe,Fc Getafe,ES1,Coliseum Alfonso Pérez,16800
621,athletic-bilbao,Athletic Bilbao,ES1,San Mamés,53289
762,newcastle-united,Newcastle United,GB1,St James' Park,52338
1049,fc-valencia,Fc Valencia,ES1,Mestalla,48600
368,fc-sevilla,Fc Sevilla,ES1,Ramón Sánchez-Pizjuán,43883
681,real-sociedad-san-sebastian,Real Sociedad San Sebastian,ES1,Reale Arena,39500
148,tottenham-hotspur,Tottenham Hotspur,GB1,Tottenham Hotspur Stadium,62062
13,atletico-madrid,Atletico Madrid,ES1,Wanda Metropolitano,68456
